sexo,edad,pobreza,y1,ytotcorh,ytot,y2_hrs,tot_per,n_ocupados,n_desocupados,v19,pobreza_sinte,asiste2,esc,educ,activ,activ2,ocup_inf,sist_salud,expr
Mujer,34,Pobres no extremos,,370834,4167,,3,1,0,120000,Pobres no extremos sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Inactivos,Inactivos,,FONASA,78
Mujer,28,No pobres,3e+05,3e+05,3e+05,8,2,1,0,150000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, suspendido por LPE",No,FONASA,78
Mujer,50,No pobres,,1108333,,,2,1,1,250000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Desocupados,Desocupados,,FONASA,88
Hombre,70,No pobres,,1108333,1108333,,2,1,1,250000,No pobres sin transferencia Covid,No asiste,16,Profesional completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,88
Hombre,19,No pobres,6e+05,6e+05,6e+05,,1,1,0,150000,No pobres sin transferencia Covid,Asiste,13,Profesional incompleto,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,122
Hombre,44,No pobres,,808333,808333,,2,1,0,250000,No pobres sin transferencia Covid,No asiste,16,Profesional incompleto,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,95
Hombre,46,No pobres,,789583,,,4,2,0,,No pobres sin transferencia Covid,No asiste,13,Profesional incompleto,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,59
Mujer,44,No pobres,,789583,14583,,4,2,0,,No pobres sin transferencia Covid,No asiste,13,Profesional incompleto,Inactivos,Inactivos,,FONASA,59
Hombre,43,No pobres,,1100000,,160,2,2,0,6e+05,No pobres sin transferencia Covid,No asiste,22,Postgrado incompleto,Ocupados,"Ocupado, no suspendido por LPE",No,Isapre,82
Hombre,29,No pobres,6e+05,3075000,650000,180,2,2,0,4e+05,No pobres sin transferencia Covid,Asiste,18,Profesional incompleto,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,45
Hombre,29,No pobres,,1950000,1900000,,3,1,0,5e+05,No pobres sin transferencia Covid,No asiste,16,Profesional completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,162
Hombre,45,No pobres,,513000,,,4,2,0,,No pobres sin transferencia Covid,No asiste,17,Profesional completo,Ocupados,"Ocupado, no suspendido por LPE",No,Isapre,79
Mujer,41,No pobres,,513000,,,4,2,0,,No pobres sin transferencia Covid,No asiste,12,Media técnica profesional completa,Ocupados,"Ocupado, no suspendido por LPE",No,Isapre,79
Mujer,27,Pobres extremos,,66667,,,3,1,0,5e+05,Pobres extremos sin transferencia Covid,No asiste,11,Media humanista incompleta,Inactivos,Inactivos,,FONASA,93
Hombre,26,No pobres,450000,1210000,450000,180,3,3,0,4e+05,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,98
Hombre,53,No pobres,380000,1210000,410000,180,3,3,0,4e+05,No pobres sin transferencia Covid,No asiste,11,Media humanista incompleta,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,98
Hombre,24,No pobres,350000,1210000,350000,180,3,3,0,4e+05,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,98
Mujer,38,No pobres,3e+05,739429,389429,40,5,1,0,350000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, suspendido por LPE",No,FONASA,70
Mujer,60,No pobres,,739429,,,5,1,0,350000,No pobres sin transferencia Covid,No asiste,6,Básica incompleta,Inactivos,Inactivos,,Ninguno (particular),70
Mujer,43,No pobres,,7e+05,,,3,1,0,3e+05,No pobres sin transferencia Covid,No asiste,8,Básica completa,Inactivos,Inactivos,,FONASA,63
Hombre,37,No pobres,,473313,,,3,2,0,420000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,107
Mujer,35,No pobres,,473313,,,3,2,0,420000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,Ninguno (particular),107
Hombre,29,No pobres,,473313,,,3,2,0,420000,No pobres sin transferencia Covid,Asiste,10,Media técnica profesional incompleta,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,107
Mujer,63,No pobres,,1719106,,,4,2,0,,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,70
Hombre,30,No pobres,180000,563000,313000,,4,1,0,250000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,86
Mujer,30,No pobres,,563000,,,4,1,0,250000,No pobres sin transferencia Covid,No asiste,14,Profesional incompleto,Inactivos,Inactivos,,FONASA,86
Mujer,23,No pobres,,732619,2e+05,,3,1,0,290000,No pobres sin transferencia Covid,Asiste,12,Media técnica profesional completa,Inactivos,Inactivos,,Ninguno (particular),69
Hombre,65,No pobres,,6e+05,6e+05,,1,1,0,,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,100
Mujer,56,No pobres,,1120833,370000,,5,2,0,3e+05,No pobres sin transferencia Covid,No asiste,12,Media técnica profesional completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,100
Hombre,57,No pobres,,1120833,750833,,5,2,0,3e+05,No pobres sin transferencia Covid,No asiste,12,Media técnica profesional completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,100
Hombre,34,No pobres,850000,940000,940000,180,1,1,0,250000,No pobres sin transferencia Covid,No asiste,17,Profesional incompleto,Ocupados,"Ocupado, no suspendido por LPE",No,Isapre,96
Hombre,36,No pobres,,3e+05,3e+05,,1,1,0,,No pobres sin transferencia Covid,No asiste,16,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,107
Mujer,19,No pobres,,544271,,,3,1,0,450000,No pobres sin transferencia Covid,Asiste,13,Profesional incompleto,Inactivos,Inactivos,,FONASA,66
Mujer,60,No pobres,,689649,120000,,3,0,1,3e+05,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Inactivos,Inactivos,,FONASA,95
Mujer,28,No pobres,,689649,350000,,3,0,1,3e+05,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Desocupados,Desocupados,,FONASA,95
Hombre,87,No pobres,,689649,219649,,3,0,1,3e+05,No pobres sin transferencia Covid,No asiste,,No sabe,Inactivos,Inactivos,,FONASA,95
Mujer,19,No pobres,,563334,,,3,1,0,,No pobres sin transferencia Covid,Asiste,14,Técnico nivel superior incompleta,Inactivos,Inactivos,,FONASA,87
Hombre,36,No pobres,,563334,,,3,1,0,,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,87
Mujer,57,No pobres,,563334,313334,,3,1,0,,No pobres sin transferencia Covid,No asiste,11,Media humanista incompleta,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,87
Hombre,62,No pobres,,729167,19167,,2,1,0,350000,No pobres sin transferencia Covid,No asiste,8,Básica completa,Inactivos,Inactivos,,FONASA,124
Mujer,33,No pobres,,453750,453750,,1,1,0,1e+05,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,Ninguno (particular),21
Hombre,22,No pobres,1e+05,1118472,1e+05,32,4,2,0,4e+05,No pobres sin transferencia Covid,Asiste,15,Profesional incompleto,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,169
Hombre,51,No pobres,,815102,40000,,4,2,0,3e+05,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,132
Mujer,44,No pobres,470000,815102,475102,180,4,2,0,3e+05,No pobres sin transferencia Covid,No asiste,8,Básica completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,132
Hombre,57,No pobres,650000,650000,650000,196,1,1,0,110000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,202
Hombre,54,No pobres,,1083333,420000,,6,3,0,250000,No pobres sin transferencia Covid,No asiste,11,Media humanista incompleta,Ocupados,"Ocupado, no suspendido por LPE",Sí,Ninguno (particular),129
Hombre,34,No pobres,,1083333,663333,,6,3,0,250000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,129
Hombre,34,No pobres,380000,669667,380000,180,5,2,0,1e+05,Pobres no extremos sin transferencia Covid,No asiste,9,Media humanista incompleta,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,129
Mujer,28,No pobres,,4e+05,,,3,1,0,2e+05,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,Ninguno (particular),156
Mujer,30,No pobres,,1161426,,,7,1,1,4e+05,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Desocupados,Desocupados,,FONASA,73
Hombre,47,No pobres,650000,1315018,653768,168,5,3,0,3e+05,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,148
Mujer,32,Pobres extremos,,37500,37500,,3,0,0,350000,Pobres extremos sin transferencia Covid,No asiste,12,Media técnica profesional completa,Inactivos,Inactivos,,FONASA,82
Mujer,32,No pobres,,3320000,470000,,4,1,1,4e+05,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,88
Mujer,31,Pobres extremos,,248333,833,,5,1,0,2e+05,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,104
Mujer,59,Pobres extremos,,248333,,,5,1,0,2e+05,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,104
Mujer,48,No pobres,,1150000,5e+05,,2,2,0,850000,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",No,Ninguno (particular),89
Mujer,29,No pobres,,1537500,,,3,1,0,350000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,80
Hombre,37,Pobres extremos,,0,,,1,0,0,250000,Pobres extremos sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Inactivos,Inactivos,,No sabe,10
Mujer,40,No pobres,,444701,,,2,0,1,,No pobres sin transferencia Covid,No asiste,13,Profesional incompleto,Inactivos,Inactivos,,FONASA,164
Hombre,24,No pobres,,1741958,,,3,2,1,180000,No pobres sin transferencia Covid,No asiste,16,Profesional completo,Desocupados,Desocupados,,FONASA,80
Hombre,45,No pobres,,1741958,,,3,2,1,180000,No pobres sin transferencia Covid,No asiste,17,Profesional completo,Ocupados,"Ocupado, no suspendido por LPE",No,Isapre,80
Mujer,49,No pobres,390000,1741958,392083,180,3,2,1,180000,No pobres sin transferencia Covid,No asiste,14,Profesional incompleto,Ocupados,"Ocupado, suspendido por LPE",No,FONASA,80
Mujer,28,No pobres,,704167,,,3,1,0,4e+05,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,5
Mujer,27,Pobres no extremos,55000,242560,229405,3,2,1,0,60000,Pobres no extremos sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,35
Hombre,46,No pobres,4e+05,880000,4e+05,180,2,2,0,80000,No pobres sin transferencia Covid,No asiste,17,Profesional completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,10
Hombre,43,No pobres,,2033333,1300000,,2,2,0,3e+05,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,33
Mujer,62,No pobres,280000,685241,446667,,2,2,0,150000,No pobres sin transferencia Covid,No asiste,3,Básica incompleta,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,53
Hombre,40,No pobres,,685241,,,2,2,0,150000,No pobres sin transferencia Covid,No asiste,12,Media técnica profesional completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,53
Hombre,27,No pobres,4e+05,2150000,4e+05,,6,4,0,250000,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,60
Hombre,42,No pobres,5e+05,2150000,5e+05,,6,4,0,250000,No pobres sin transferencia Covid,No asiste,17,Profesional completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,60
Mujer,53,No pobres,,2150000,,,6,4,0,250000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,60
Mujer,23,No pobres,4e+05,2150000,4e+05,,6,4,0,250000,No pobres sin transferencia Covid,No asiste,17,Profesional incompleto,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,60
Mujer,50,No pobres,6e+05,2150000,6e+05,,6,4,0,250000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,60
Mujer,41,No pobres,,866667,616667,,6,1,0,250000,No pobres sin transferencia Covid,Asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,35
Hombre,21,No pobres,,866667,,,6,1,0,250000,No pobres sin transferencia Covid,Asiste,14,Profesional incompleto,Inactivos,Inactivos,,FONASA,35
Hombre,47,No pobres,320000,440000,320000,200,1,1,0,120000,No pobres sin transferencia Covid,No asiste,1,Básica incompleta,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,48
Mujer,37,No pobres,270000,608749,306666,180,4,2,0,,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,49
Mujer,86,No pobres,,608749,,,4,2,0,,No pobres sin transferencia Covid,No asiste,8,Básica completa,Inactivos,Inactivos,,FONASA,49
Hombre,14,No pobres,,608749,,,4,2,0,,No pobres sin transferencia Covid,Asiste,,Media humanista incompleta,,,,FONASA,49
Hombre,45,No pobres,3e+05,608749,302083,180,4,2,0,,No pobres sin transferencia Covid,No asiste,5,Básica incompleta,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,49
Mujer,37,No pobres,,916728,,,4,1,0,2e+05,No pobres sin transferencia Covid,No asiste,12,Media técnica profesional completa,Inactivos,Inactivos,,FONASA,30
Hombre,37,No pobres,,1248896,333333,,2,0,1,250000,No pobres sin transferencia Covid,No asiste,15,Profesional incompleto,Desocupados,Desocupados,,FONASA,49
Mujer,75,No pobres,,1248896,915563,,2,0,1,250000,No pobres sin transferencia Covid,No asiste,6,Básica completa,Inactivos,Inactivos,,FONASA,49
Mujer,26,No pobres,,1459053,301250,,3,3,0,220000,No pobres sin transferencia Covid,No asiste,15,Profesional incompleto,Ocupados,"Ocupado, suspendido por LPE",No,FONASA,36
Mujer,46,No pobres,,315715,23155,,2,1,0,,No pobres sin transferencia Covid,No asiste,8,Básica completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,106
Hombre,14,No pobres,,315715,26310,,2,1,0,,No pobres sin transferencia Covid,Asiste,,Media humanista incompleta,,,,FONASA,106
Hombre,49,No pobres,3e+05,592321,329166,100,4,1,0,250000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,34
Hombre,24,No pobres,,592321,,,4,1,0,250000,No pobres sin transferencia Covid,Asiste,0,Sin educación formal,Inactivos,Inactivos,,FONASA,34
Hombre,80,No pobres,,505379,90379,,4,0,2,2e+05,No pobres sin transferencia Covid,No asiste,0,Sin educación formal,Inactivos,Inactivos,,FONASA,44
Hombre,34,No pobres,350000,701830,350000,44,5,1,0,,No pobres sin transferencia Covid,No asiste,,No sabe,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,31
Mujer,4,Pobres no extremos,,3e+05,,,3,1,0,1e+05,Pobres no extremos sin transferencia Covid,No asiste,,Sin educación formal,,,,Ninguno (particular),32
Mujer,38,Pobres no extremos,3e+05,3e+05,3e+05,180,3,1,0,1e+05,Pobres no extremos sin transferencia Covid,No asiste,17,Profesional completo,Ocupados,"Ocupado, no suspendido por LPE",No,No sabe,32
Hombre,42,Pobres no extremos,,3e+05,,,3,1,0,1e+05,Pobres no extremos sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,Ninguno (particular),32
Hombre,33,Pobres extremos,,88334,70000,,4,1,1,250000,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,Ninguno (particular),40
Mujer,45,Pobres no extremos,,331535,,,4,1,0,150000,Pobres no extremos sin transferencia Covid,No asiste,14,Técnico nivel superior completo,Inactivos,Inactivos,,FONASA,42
Hombre,44,Pobres no extremos,320000,331535,329452,200,4,1,0,150000,Pobres no extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,42
Hombre,14,Pobres no extremos,,331535,,,4,1,0,150000,Pobres no extremos sin transferencia Covid,No asiste,,Media humanista incompleta,,,,FONASA,42
Mujer,13,Pobres no extremos,,331535,2083,,4,1,0,150000,Pobres no extremos sin transferencia Covid,No asiste,,Básica incompleta,,,,FONASA,42
Mujer,39,No pobres,4e+05,1522500,405833,160,2,1,0,,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,36
Mujer,22,Pobres no extremos,,647641,,,7,1,0,150000,Pobres no extremos sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,46
Mujer,38,Pobres no extremos,220000,647641,576333,160,7,1,0,150000,Pobres no extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,46
Hombre,3,Pobres no extremos,,647641,,,7,1,0,150000,Pobres no extremos sin transferencia Covid,No asiste,,Sin educación formal,,,,FONASA,46
Mujer,30,No pobres,,801667,1667,,3,1,0,2e+05,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,Isapre,50
Hombre,60,No pobres,,1120579,420833,,9,2,2,,No pobres sin transferencia Covid,No asiste,8,Básica completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,105
Mujer,11,Pobres no extremos,,456667,,,4,1,1,160000,Pobres no extremos sin transferencia Covid,Asiste,,Básica incompleta,,,,FONASA,44
Hombre,29,Pobres no extremos,,456667,,,4,1,1,160000,Pobres no extremos sin transferencia Covid,No asiste,12,Media humanista completa,Desocupados,Desocupados,,FONASA,44
Mujer,33,Pobres no extremos,3e+05,456667,456667,180,4,1,1,160000,Pobres no extremos sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,44
Mujer,37,No pobres,,1057598,53015,,5,1,0,150000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,115
Hombre,37,No pobres,235000,735000,615000,,2,2,0,120000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,91
Mujer,52,No pobres,,642557,284167,,2,2,0,70000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,88
Hombre,52,No pobres,,642557,4167,,2,2,0,70000,No pobres sin transferencia Covid,No asiste,4,Básica incompleta,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,88
Mujer,31,No pobres,,1321488,340000,,5,1,0,250000,No pobres sin transferencia Covid,No asiste,13,Técnico nivel superior incompleta,Inactivos,Inactivos,,Ninguno (particular),93
Hombre,33,No pobres,3e+05,715833,365833,160,2,2,0,,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,114
Hombre,33,Pobres extremos,,80981,,,6,0,1,210000,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Desocupados,Desocupados,,Ninguno (particular),82
Hombre,11,Pobres extremos,,80981,,,6,0,1,210000,Pobres extremos sin transferencia Covid,Asiste,,Básica incompleta,,,,FONASA,82
Hombre,13,Pobres extremos,,80981,3118,,6,0,1,210000,Pobres extremos sin transferencia Covid,Asiste,,Básica completa,,,,FONASA,82
Mujer,33,Pobres extremos,,80981,77863,,6,0,1,210000,Pobres extremos sin transferencia Covid,No asiste,9,Media humanista incompleta,Inactivos,Inactivos,,FONASA,82
Hombre,9,Pobres extremos,,80981,,,6,0,1,210000,Pobres extremos sin transferencia Covid,Asiste,,Básica incompleta,,,,FONASA,82
Mujer,49,No pobres,350000,7570833,480833,180,5,3,0,8e+05,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,148
Mujer,27,No pobres,320000,853405,465488,48,4,2,0,2e+05,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,107
Mujer,56,No pobres,,853405,267917,,4,2,0,2e+05,No pobres sin transferencia Covid,No asiste,17,Profesional completo,Inactivos,Inactivos,,FONASA,107
Hombre,26,No pobres,5e+05,1160000,580000,180,3,3,0,5e+05,No pobres sin transferencia Covid,No asiste,16,Profesional completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,45
Hombre,24,No pobres,5e+05,1160000,580000,180,3,3,0,5e+05,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,45
Hombre,24,No pobres,,1160000,,,3,3,0,5e+05,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,45
Hombre,25,No pobres,,5230435,,,6,4,0,,No pobres sin transferencia Covid,No asiste,,No sabe,Inactivos,Inactivos,,Isapre,38
Mujer,47,No pobres,240000,1036977,280310,,2,2,0,,No pobres sin transferencia Covid,No asiste,10,Media humanista incompleta,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,68
Hombre,44,No pobres,,1036977,636667,,2,2,0,,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,68
Hombre,46,No pobres,,440417,440417,,1,0,1,,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Desocupados,Desocupados,,Ninguno (particular),76
Mujer,22,No pobres,,460000,460000,192,1,1,0,4e+05,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,47
Hombre,4,No pobres,,470833,,,3,1,0,4e+05,No pobres sin transferencia Covid,Asiste,,Sin educación formal,,,,Ninguno (particular),125
Mujer,26,No pobres,450000,470833,470833,200,3,1,0,4e+05,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,125
Mujer,34,No pobres,,470833,,,3,1,0,4e+05,No pobres sin transferencia Covid,No asiste,10,Media humanista incompleta,Inactivos,Inactivos,,FONASA,125
Mujer,39,No pobres,1300000,4300000,1500000,160,4,2,0,5e+05,No pobres sin transferencia Covid,No asiste,17,Profesional completo,Ocupados,"Ocupado, no suspendido por LPE",No,Isapre,400
Hombre,41,No pobres,320000,398438,321667,45,2,1,0,1e+05,No pobres sin transferencia Covid,No asiste,16,Técnico nivel superior completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,70
Mujer,39,No pobres,,398438,76771,,2,1,0,1e+05,No pobres sin transferencia Covid,No asiste,16,Técnico nivel superior completo,Inactivos,Inactivos,,FONASA,70
Mujer,21,No pobres,,524904,,,3,2,1,1e+05,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior completo,Desocupados,Desocupados,,Ninguno (particular),40
Hombre,36,No pobres,,325000,325000,,1,1,0,250000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,121
Mujer,64,No pobres,,605500,,,2,1,0,2e+05,No pobres sin transferencia Covid,No asiste,17,Profesional completo,Inactivos,Inactivos,,Ninguno (particular),133
Hombre,45,No pobres,,370334,88334,,2,2,0,150000,No pobres sin transferencia Covid,No asiste,12,Media técnica profesional completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,104
Mujer,34,No pobres,,376405,93072,,2,1,0,,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,FONASA,188
Mujer,71,No pobres,,4895000,1900000,,3,0,0,4e+05,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,Isapre,39
Hombre,46,No pobres,,738437,536294,,4,1,0,5e+05,No pobres sin transferencia Covid,No asiste,17,Profesional incompleto,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,31
Mujer,37,No pobres,,738437,175833,,4,1,0,5e+05,No pobres sin transferencia Covid,No asiste,10,Media humanista incompleta,Inactivos,Inactivos,,FONASA,31
Mujer,10,No pobres,,738437,13155,,4,1,0,5e+05,No pobres sin transferencia Covid,Asiste,,Básica incompleta,,,,FONASA,31
Mujer,67,Pobres extremos,,370000,150000,,7,0,3,,Pobres extremos sin transferencia Covid,No asiste,9,Media humanista incompleta,Desocupados,Desocupados,,FONASA,124
Hombre,70,Pobres extremos,,370000,,,7,0,3,,Pobres extremos sin transferencia Covid,No asiste,17,Profesional completo,Inactivos,Inactivos,,Ninguno (particular),124
Hombre,31,Pobres extremos,,370000,,,7,0,3,,Pobres extremos sin transferencia Covid,No asiste,0,Sin educación formal,Inactivos,Inactivos,,Ninguno (particular),124
Hombre,42,Pobres extremos,,370000,,,7,0,3,,Pobres extremos sin transferencia Covid,No asiste,10,Media humanista incompleta,Desocupados,Desocupados,,Ninguno (particular),124
Mujer,42,Pobres extremos,,370000,,,7,0,3,,Pobres extremos sin transferencia Covid,No asiste,12,Media humanista completa,Desocupados,Desocupados,,Ninguno (particular),124
Mujer,8,Pobres extremos,,370000,,,7,0,3,,Pobres extremos sin transferencia Covid,Asiste,,Básica incompleta,,,,Ninguno (particular),124
Mujer,41,Pobres no extremos,,372709,73244,,4,0,1,110000,Pobres no extremos sin transferencia Covid,No asiste,10,Media humanista incompleta,Desocupados,Desocupados,,FONASA,124
Hombre,50,No pobres,,601905,,,4,1,0,150000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Inactivos,Inactivos,,Ninguno (particular),85
Mujer,26,No pobres,,601905,588750,,4,1,0,150000,No pobres sin transferencia Covid,Asiste,12,Media técnica profesional completa,Ocupados,"Ocupado, no suspendido por LPE",Sí,FONASA,85
Mujer,7,No pobres,,965334,,,4,1,1,3e+05,No pobres sin transferencia Covid,Asiste,,Básica incompleta,,,,FONASA,83
Mujer,33,No pobres,,965334,76667,,4,1,1,3e+05,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Desocupados,Desocupados,,FONASA,83
Hombre,50,No pobres,7e+05,965334,888667,170,4,1,1,3e+05,No pobres sin transferencia Covid,No asiste,16,Profesional completo,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,83
Mujer,53,No pobres,,390646,58333,,2,2,0,120000,No pobres sin transferencia Covid,No asiste,12,Media humanista completa,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,36
Hombre,25,No pobres,320000,390646,332313,180,2,2,0,120000,No pobres sin transferencia Covid,No asiste,15,Técnico nivel superior incompleta,Ocupados,"Ocupado, no suspendido por LPE",No,FONASA,36
